ingredient,serving_basis,calories_kcal,protein_g,carbs_g,fat_g,fiber_g,sugar_g,sodium_mg,potassium_mg,calcium_mg,iron_mg,vitamin_c_mg,vitamin_a_mcg_rae
Chicken breast (raw),per 100g,120,22.5,0,2.6,0,0,45,256,5,0.4,0,3
Chicken breast (cooked),per 100g,165,31,0,3.6,0,0,74,256,15,1.0,0,5
Chicken thigh (raw),per 100g,145,17.9,0,8.0,0,0,71,220,8,0.9,0,15
Chicken thigh (cooked),per 100g,209,26,0,10.9,0,0,90,240,12,1.2,0,17
Turkey breast (raw),per 100g,104,23.5,0,0.7,0,0,48,250,8,0.5,0,0
Turkey breast (cooked),per 100g,135,30,0,1.0,0,0,55,260,10,0.6,0,0
Ground turkey 93/7 (cooked),per 100g,176,22,0,9,0,0,80,260,15,1.5,0,0
Lean ground beef 90/10 (cooked),per 100g,176,20,0,10,0,0,70,300,15,2.2,0,0
Beef sirloin steak (cooked),per 100g,183,29,0,7,0,0,56,350,10,2.5,0,0
Beef flank steak (cooked),per 100g,192,28,0,8,0,0,68,320,15,2.4,0,0
Pork tenderloin (cooked),per 100g,143,26,0,3.5,0,0,50,420,6,1.3,0,2
Pork chop (cooked),per 100g,231,27,0,13,0,0,55,380,10,0.8,0,2
Bacon (cooked),per 100g,541,37,1.4,42,0,0,1717,565,12,1.4,0,0
Turkey bacon (cooked),per 100g,240,25,2,15,0,0,1350,280,10,1.0,0,0
Salmon (raw),per 100g,208,20,0,13,0,0,59,363,9,0.3,0,12
Salmon (cooked),per 100g,206,22,0,12,0,0,61,384,12,0.5,0,13
"Tuna, canned in water (drained)",per 100g,116,26,0,0.8,0,0,247,237,11,1.0,0,17
Tuna steak (raw),per 100g,144,23.3,0,4.9,0,0,39,252,8,1.0,2,18
Tilapia (cooked),per 100g,128,26,0,2.7,0,0,56,380,14,0.7,0,4
Cod (cooked),per 100g,105,23,0,0.9,0,0,78,468,16,0.4,1,12
Shrimp (cooked),per 100g,99,24,0.2,0.3,0,0,111,259,70,0.5,0,54
"Sardines, canned in oil (drained)",per 100g,208,24.6,0,11.5,0,0,307,397,382,2.9,0,32
Whole egg (cooked),per 100g,155,13,1.1,11,0,1.1,124,126,50,1.2,0,160
Egg white (cooked),per 100g,52,11,0.7,0.2,0,0.7,166,163,7,0.1,0,0
"Greek yogurt, plain, nonfat",per 100g,59,10.2,3.6,0.4,0,3.2,36,141,110,0.1,0,0
"Greek yogurt, plain, full-fat",per 100g,97,9,3.9,5,0,4,34,141,100,0.1,0,25
"Yogurt, plain, regular (whole milk)",per 100g,61,3.5,4.7,3.3,0,4.7,46,155,121,0.1,0.5,27
"Cottage cheese, low-fat (1%)",per 100g,72,12,2.7,1,0,2.7,400,90,61,0.1,0,15
"Cottage cheese, full-fat (4%)",per 100g,98,11,3.4,4.3,0,2.6,364,104,83,0.1,0,37
"Milk, whole (3.25%)",per 100g,61,3.2,4.8,3.3,0,5.1,43,132,113,0.03,0,46
"Milk, skim",per 100g,34,3.4,5,0.1,0,5,42,150,122,0.03,0,0
"Milk, 2%",per 100g,50,3.3,4.9,2,0,5.1,44,150,120,0.02,0,25
"Mozzarella cheese, part-skim",per 100g,254,24,2.8,16,0,1,528,76,731,0.4,0,179
Cheddar cheese,per 100g,403,25,1.3,33,0,0.5,621,98,721,0.7,0,265
Parmesan cheese,per 100g,431,38,4.1,29,0,0.9,1529,92,1184,0.8,0,178
Cream cheese,per 100g,342,6,4.1,34,0,3.2,321,138,98,0.4,0,308
"Kefir, plain, low-fat",per 100g,41,3.4,4.5,1,0,4.5,40,130,120,0.05,1,20
"Tofu, firm",per 100g,144,15.7,2.8,8.7,2.3,0.6,12,148,350,2.7,0,0
Tempeh,per 100g,192,20.3,7.6,10.8,9,0,9,412,111,2.7,0,0
Edamame (cooked),per 100g,121,12,10,5,5,2.2,6,436,63,2.3,6,4
Black beans (cooked),per 100g,132,8.9,24,0.5,8.7,0.3,1,355,27,2.1,0,0
Chickpeas (cooked),per 100g,164,8.9,27.4,2.6,7.6,4.8,7,291,49,2.9,1.3,1
Lentils (cooked),per 100g,116,9,20,0.4,7.9,1.8,2,369,19,3.3,1.5,1
Kidney beans (cooked),per 100g,127,8.7,22.8,0.5,6.4,0.3,1,403,28,2.2,1.2,0
Whey protein powder (generic),per 100g,400,80,8,6,1,4,250,200,130,1,0,0
"Plant protein powder, pea/rice blend",per 100g,380,75,10,5,3,2,300,300,100,6,0,0
Seitan,per 100g,370,75,14,1.9,0.6,0,20,180,142,5,0,0
White rice (cooked),per 100g,130,2.7,28,0.3,0.4,0.1,1,35,10,0.2,0,0
White rice (uncooked),per 100g,365,7.1,80,0.7,1.3,0.1,5,115,28,0.8,0,0
Jasmine rice (cooked),per 100g,129,2.7,28,0.2,0.4,0,1,30,3,0.2,0,0
Jasmine rice (uncooked),per 100g,356,6.7,79.8,0.5,1.3,0,2,90,10,0.5,0,0
Brown rice (cooked),per 100g,123,2.7,25.6,1,1.6,0.2,4,86,10,0.5,0,0
Brown rice (uncooked),per 100g,370,7.9,77.2,2.9,3.5,0.7,7,223,23,1.5,0,0
Basmati rice (cooked),per 100g,121,2.5,25,0.4,0.6,0,1,28,4,0.3,0,0
Quinoa (cooked),per 100g,120,4.4,21.3,1.9,2.8,0.9,7,172,17,1.5,0,1
Quinoa (uncooked),per 100g,368,14.1,64.2,6.1,7,4.6,5,563,47,4.6,0,1
"Oats, rolled (dry)",per 100g,389,16.9,66.3,6.9,10.6,0,2,429,54,4.7,0,0
Oats (cooked),per 100g,71,2.5,12,1.5,1.7,0.3,4,70,9,0.9,0,0
Steel-cut oats (dry),per 100g,379,13,67,6.5,10,1,6,375,40,4,0,0
Whole wheat bread,per 100g,247,13,41,3.4,7,6,400,250,107,2.5,0,0
White bread,per 100g,265,9,49,3.2,2.7,5,490,100,151,3.6,0,0
Sourdough bread,per 100g,289,11.4,55.6,1.6,2.4,3,517,130,44,3.5,0,0
Whole wheat pasta (cooked),per 100g,124,5.3,26.5,1.1,3.9,0.8,4,62,13,1.1,0,0
Regular pasta (cooked),per 100g,131,5.1,25,1.1,1.8,0.6,1,24,7,0.9,0,0
Sweet potato (raw),per 100g,86,1.6,20.1,0.1,3,4.2,55,337,30,0.6,2.4,709
Sweet potato (cooked),per 100g,90,2,20.7,0.2,3.3,6.5,36,230,27,0.7,19.6,961
White potato (raw),per 100g,77,2,17.5,0.1,2.2,0.8,6,425,12,0.8,19.7,0
"White potato (cooked, boiled)",per 100g,87,1.9,20.1,0.1,1.8,0.9,4,379,8,0.3,13,0
Corn tortilla,per 100g,218,5.7,44.6,2.9,6.3,0.9,15,186,81,1.2,0,8
Whole wheat tortilla,per 100g,285,9,46,7,6,2,550,150,100,2.5,0,0
Couscous (cooked),per 100g,112,3.8,23.2,0.2,1.4,0.1,5,58,8,0.4,0,0
"Rice cakes, plain",per 100g,387,8.2,82,2.8,4.2,0.5,10,168,12,1.2,0,0
Banana,per 100g,89,1.1,22.8,0.3,2.6,12.2,1,358,5,0.3,8.7,3
Apple,per 100g,52,0.3,13.8,0.2,2.4,10.4,1,107,6,0.1,4.6,3
Blueberries,per 100g,57,0.7,14.5,0.3,2.4,10,1,77,6,0.3,9.7,3
Strawberries,per 100g,32,0.7,7.7,0.3,2,4.9,1,153,16,0.4,58.8,1
Orange,per 100g,47,0.9,11.8,0.1,2.4,9.4,0,181,40,0.1,53.2,11
Grapes,per 100g,69,0.7,18.1,0.2,0.9,15.5,2,191,10,0.4,3.2,3
Avocado,per 100g,160,2,8.5,14.7,6.7,0.7,7,485,12,0.6,10,7
Mango,per 100g,60,0.8,15,0.4,1.6,13.7,1,168,11,0.2,36.4,54
Pineapple,per 100g,50,0.5,13.1,0.1,1.4,9.9,1,109,13,0.3,47.8,1
Watermelon,per 100g,30,0.6,7.6,0.2,0.4,6.2,1,112,7,0.2,8.1,28
